originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
1 000				
Many NLP applications require detecting relations between word meanings beyond synonymy and paraphrasing.	Beyond synonymy and paraphrasing, numerous NLP applications need to identify relationships between word meanings.	NLP applications often demand the detection of word meaning relationships that extend past synonymy and paraphrasing.	Identifying relations between word meanings that go beyond synonymy and paraphrasing is essential for many NLP applications.	A wide range of NLP applications necessitate recognizing connections between word meanings outside of synonymy and paraphrasing.
For instance, given “Carlsen plays chess.” and the question “Which game does Carlsen play?”, successfully answering the question requires knowing that chess is a kind of game, or more generally, that chess entails game.				
While prior work has defined lexical entailment as a relation between word types (Turney and Mohammad, 2013), we argue entailment relations are better defined when illustrating word meaning with an example in context.	Although previous research has characterized lexical entailment as a relationship among word types (Turney and Mohammad, 2013), we contend that entailment relations achieve better definition through contextual examples that demonstrate word meaning.	Previous studies have established lexical entailment as a connection between word types (Turney and Mohammad, 2013), yet we maintain that contextual examples illustrating word meaning provide superior definitions for entailment relations.	Lexical entailment has been conceptualized in earlier work as a word type relation (Turney and Mohammad, 2013), but we propose that entailment relations receive more effective definition when word meaning is demonstrated through contextual examples.	Though earlier research framed lexical entailment as existing between word types (Turney and Mohammad, 2013), we assert that entailment relations benefit from better definition when contextual examples showcase word meaning.
Ignoring context is problematic since entailment might hold between some senses of the words, but not others.	The problem with disregarding context is that entailment may be valid for certain word senses while invalid for others.	Context cannot be overlooked because entailment could exist between particular meanings of the words but be absent in different meanings.	Since entailment may apply to specific word senses but not to alternative ones, dismissing context creates difficulties.	It is problematic to ignore context given that entailment relationships might exist for some interpretations of the words while failing for others.
"Consider the word game in two distinct contexts:
1."				
The championship game was played in NYC.	NYC hosted the championship game.	In NYC, the championship game took place.	The final championship match occurred in NYC.	NYC served as the venue for the championship game.
2.				
The hunters were interested in the big game.	The big game captured the hunters' interest.	What interested the hunters was the big game.	The big game drew the attention of the hunters.	It was the big game that fascinated the hunters.
Given the sentence, Carlsen is the world chess champion, chess =⇒ game as used in the first context, while chess 6=⇒ game in the second context.				
In this paper, we investigate how to represent and compare the meaning of words in context for lexical entailment.	This paper explores methods for representing and comparing contextual word meanings in the context of lexical entailment.	We examine approaches to represent and evaluate the semantic content of words within their contexts for lexical entailment purposes.	The focus of our research is on developing techniques to capture and contrast word meanings as they appear in context for lexical entailment tasks.	Our study addresses the challenge of how contextual word meanings can be represented and compared when dealing with lexical entailment.
Since distributional representations for word types have proved useful to detect lexical entailment out of context in supervised settings (Baroni et al., 2012; Roller et al., 2014; Turney and Mohammad, 2013), we propose to transform context-agnostic word type representations into contextualized representations that highlight salient properties of the context (Section 3), and use these contextualized representations with a range of semantic similarity features (Section 4) to successfully detect entailment.				
As we will see, these context representations significantly improve performance over contextagnostic baselines not only in English, but also between English and French words (Section 7) on two novel datasets (Section 5).				
We also show that our features are sensitive to word sense changes indicated by context, and adequately capture the direction of entailment relation (Section 8).	Section 8 demonstrates that our features respond appropriately to contextual shifts in word meaning and effectively encode the directional nature of entailment relationships.	Additionally, we demonstrate that contextual variations in word sense are detected by our features, which also properly represent the orientation of entailment connections (Section 8).	Our findings reveal that the features we developed are responsive to context-driven word sense variations and successfully model the directional aspects of entailment relations (Section 8).	Furthermore, evidence indicates that our proposed features detect word sense shifts based on contextual cues while appropriately modeling entailment direction (Section 8).
Moreover, we establish a new state-of-the-art on an existing dataset that captures a broader range of semantic relations in context (Shwartz and Dagan, 2015), and show that the proposed features, induced solely from large amounts of raw text, yield systems that perform as well, or better than existing systems that require additional human annotation.				
"We frame the task of lexical entailment in context as a binary classification task on examples consisting of a 4-tuple (wl, wr, cl, cr), where wl and wr are two words, and cl and cr are sentences which
2
Words (wl, wr) Exemplars (cl,cr) Does wl =⇒ wr ?"				
staff , stick cl = He walked with the help of a wooden staff .				
Yes cr = The kid had a candied apple on a stick.				
staff , body cl = The hospital has an excellent nursing staff .				
Yes cr = The whole body filed out of the auditorium.				
staff , stick cl = The hospital has an excellent nursing staff .				
No cr = The kid had a candied apple on a stick.				
"Table 1: Examples of the context-aware lexical entailment task
illustrate each word usage."				
The example is treated as positive if wl =⇒ wr, given the meaning of each word exemplified by the contexts, and negative otherwise.				
Table 1 provides examples.				
We say that entailment holds if the meaning of wl in the context of cl is more specific than the meaning of wr in the context of cr.	Entailment is said to hold when wl's meaning within cl's context is more specific than wr's meaning within cr's context.	We consider entailment to be present if wl, as understood in cl, carries a more specific meaning than wr does in cr.	The condition for entailment is that wl interpreted in the context of cl has greater specificity of meaning than wr interpreted in the context of cr.	Entailment exists when the contextual meaning of wl in cl demonstrates more specificity than the contextual meaning of wr in cr.
The nature of entailment relations captured out-of-context can be broader depending on the test beds considered1.	Depending on the test beds considered1, the scope of entailment relations captured out-of-context may be more extensive.	The breadth of entailment relations that are captured out-of-context varies based on which test beds considered1 are used.	Test beds considered1 can influence how broad the entailment relations captured out-of-context become.	When different test beds considered1 are employed, the entailment relations captured out-of-context may exhibit greater breadth.
Zhitomirsky-Geffet and Dagan (2009) formalize lexical entailment as a substitutional relationship, which encompasses synonymy, hypernymy, some meronymy relations, and also cause-effect relations.				
However, we limit entailment to the specificity relation in this work to better understand the impact of context.	In this work, we restrict entailment to the specificity relation in order to gain a clearer understanding of how context influences outcomes.	To enhance our comprehension of context's impact, we confine entailment exclusively to the specificity relation within this study.	We constrain entailment to only the specificity relation throughout this research to achieve better insight into contextual effects.	For the purpose of improving our grasp of context's influence, entailment is bounded by the specificity relation in our current investigation.
Note that lexical entailment in context is not textual entailment.	It's important to recognize that textual entailment differs from lexical entailment in context.	Lexical entailment in context should not be confused with textual entailment.	One must distinguish between lexical entailment in context and textual entailment, as they are not the same.	Textual entailment and lexical entailment in context are distinct concepts that shouldn't be equated.
Recognizing textual entailment (Dagan et al., 2013) and natural language inference (Bowman et al., 2015) involves detecting entailment relations between sentences, while lexical entailment is a relation between words.				
How can we construct vector representations of the meaning of target words wl and wr in their respective exemplar contexts cl and cr?	What methods exist for building vector representations that capture the semantic content of target words wl and wr within their specific contextual examples cl and cr?	In what ways might we develop vectorized meaning representations for target words wl and wr as they appear in their particular exemplar contexts cl and cr?	By what approach could vector representations be created to encode the meanings of target words wl and wr situated within their respective contextual exemplars cl and cr?	What techniques allow us to generate vector-based semantic representations for target words wl and wr given their occurrence in specific exemplar contexts cl and cr?
We start from existing representations for word types which have proven useful for detecting lexical entailment and other semantic relations out of context (Baroni et al., 2012; Kruszewski and Baroni, 2015; Vylomova et al., 2016; Turney and Mohammad, 2013).				
"Given an example (wl, wr, cl, cr), let ~wl and ~wr refer to the context-agnostic representations of wl and wr, and let Cl and Cr represent the matrices obtained by row-wise stacking of the context-
1We refer the reader to Turney and Mohammad (2013) and Shwartz et al (2017) for comprehensive surveys of supervised and unsupervised methods for the out-of-context task."				
agnostic representations of words in cl and cr respectively.	agnostic word representations in cl and cr, respectively.	word representations that are agnostic, found in cl and cr respectively.	representations of words that remain agnostic within cl and cr respectively.	cl and cr contain agnostic representations of words, respectively.
Following Thater et al.				
(2011); Erk and Padó (2008), our first approach is to apply a filter to word type representations to highlight the salient dimensions of the exemplar context, emphasizing relevant dimensions of and downplaying unimportant ones.				
However, while prior work represents context by averaging word vectors, we propose richer representations that better capture the salient geometrical properties of the exemplar context that might get lost by averaging (Figure 1).	Although previous research has represented context through word vector averaging, our approach introduces more sophisticated representations that effectively preserve the important geometrical characteristics of exemplar context which averaging might obscure (Figure 1).	Prior studies have relied on averaging word vectors to represent context, but we suggest enhanced representations that more successfully retain the crucial geometrical features of exemplar context that could be diminished through averaging (Figure 1).	While earlier work has employed word vector averaging for context representation, we put forward enriched representations that superior capture the significant geometrical attributes of exemplar context potentially lost during averaging (Figure 1).	Previous approaches have used averaging of word vectors as their method for context representation, yet we advocate for more nuanced representations that better preserve the essential geometrical properties of exemplar context that averaging may eliminate (Figure 1).
First, we construct fixed length representations for the contexts cl and cr by running convolutional filters over Cl and Cr.	To begin, we create fixed-length representations for contexts cl and cr through the application of convolutional filters across Cl and Cr.	Initially, fixed-length representations of contexts cl and cr are built by applying convolutional filters to Cl and Cr.	The process starts with generating fixed-length representations for contexts cl and cr via convolutional filter operations on Cl and Cr.	We begin by producing fixed-length representations of the contexts cl and cr using convolutional filters that process Cl and Cr.
Specifically, we calculate the column-wise maximum, minimum and the mean over the matrices Cl and Cr, as done by (Tang et al., 2014) for supervised sentiment classification.				
This yields three ddimensional vectors for cl (~cl,max, ~cl,min, ~cl,mean), and three d-dimensional vectors for cr (~cr,max, ~cr,min, ~cr,mean).				
"Computing the maximum and minimum across all vector dimensions captures the exterior surface of the “instance manifold”
3
(the volume in embedding space within which all words in the instance reside), while the mean summarizes the density per-dimension within the manifold (Hovy, 2015)."				
Second, we transform initial context-agnostic representations for target word types by taking an element-wise product of the word type vectors ( ~w∗) with vectors representing salient dimensions of the exemplar context (~c∗,max, ~c∗,min, ~c∗,mean) where ∗ ∈ {l, r} .				
This yields three d-dimensional vectors for wl (~wl,max, ~wl,min, ~wl,mean), and three for wr (~wr,max, ~wr,min, ~wr,mean).				
We refer to our final word-in-context representations for wl and wr as ~wl,mask and ~wr,mask respectively, where ~wl,mask is the concatenation of ~wl,max, ~wl,min, ~wl,mean, and ~wr,mask is also similarly constructed.				
An alternative approach to contextualizing word representations is to directly compare the representations of words with representations of contexts.	A different method for contextualizing word representations involves making direct comparisons between word representations and context representations.	Rather than using traditional approaches, one can contextualize word representations by performing direct comparisons with context representations.	Direct comparison between word representations and context representations offers an alternative way to contextualize word representations.	Instead of conventional methods, word representations can be contextualized through direct comparison against representations of contexts.
In a single language, this can be done using Context2Vec (Melamud et al., 2016), a neural model that, given a target word and its sentential context, embeds both the word and the context in the same low-dimensional space, with the objective of having the context predict the target word via a log linear model.	For monolingual applications, Context2Vec (Melamud et al., 2016) offers a solution through its neural architecture that maps both target words and their surrounding sentential contexts into a shared low-dimensional space, where the context serves to predict the target word through a log linear model.	Within a monolingual setting, one can employ Context2Vec (Melamud et al., 2016), which uses a neural framework to project target words alongside their sentential contexts into an identical low-dimensional representation space, designed so that contexts can predict target words via a log linear model.	Context2Vec (Melamud et al., 2016) provides a neural approach for single-language tasks by embedding target words and their sentential contexts within the same low-dimensional space, structured to enable context-based prediction of target words using a log linear model.	When working with one language, Context2Vec (Melamud et al., 2016) can be utilized as a neural solution that places both target words and their sentential contexts in a unified low-dimensional embedding space, where a log linear model allows contexts to predict the corresponding target words.
This model approaches the state-of-the-art on lexical substitution, sentence completion, and supervised word sense disambiguation.				
Given words and context representations described above, how can we predict entailment?	How is it possible to predict entailment using the words and context representations outlined earlier?	What method allows us to forecast entailment based on the previously described words and context representations?	In what way can entailment be predicted through the words and context representations mentioned above?	By what means might we determine entailment using the words and context representations that were described previously?
Prior work on lexical entailment out of context suggests that the entailment relationship between words is a learnable function of the concatenation of their individual representations (Baroni et al., 2012; Turney and Mohammad, 2013).				
After concatenation, they are used as features for a logistic regression (Roller et al., 2014) or an SVM classifier (Baroni et al., 2012; Turney and Mohammad, 2013).				
We follow the same practice with our context-aware word representations.	Our context-aware word representations adhere to this identical approach.	This same methodology is applied to our context-aware word representations.	Our context-aware word representations are handled using the same procedure.	The identical practice is employed for our context-aware word representations.
"Intuitively, the classifier learns to weight the importance of each dimension of a word representation to detect
entailment."				
By learning different weights for the same features describing wl or wr, the classifier can detect asymmetric behavior too, as we will see in Section 8.				
We hypothesize that entailment relations hold between related words and introduce similarity features to capture this non-directional relation between words and contexts.	Our hypothesis is that related words maintain entailment relations, and we propose similarity features designed to represent this bidirectional relationship linking words with their contexts.	The existence of entailment relations among related words forms the basis of our hypothesis, leading us to develop similarity features that encode this non-directional connection between words and contexts.	Starting from the assumption that entailment relations exist between related words, we present similarity features aimed at modeling this symmetric association connecting words to contexts.	Similarity features are introduced by us to model the non-directional relation between words and contexts, based on our hypothesis regarding entailment relations among related words.
Given a pair of vectors (~l, ~r), we use three similarity measures: the cosine similarity cosine(~l, ~r), the dot product ~l · ~r, and the euclidean distance ‖~l − ~r‖.				
